2213,"Offenburg",48.46854,7.94424
2425,"Donaueschingen",47.95398,8.49933
2268,"Tübingen",48.52224,9.06119
2551,"Müllheim",47.80630,7.62869
592,"Leer/Ostfriesland",53.22724,7.45181
736,"Bautzen",51.18190,14.43571
385,"Frankfurt/Main",50.09880,8.71281
438,"Brotterode",50.82537,10.44455
2244,"Wadern",49.52924,6.89783
722,"Köln",50.94031,6.97055
2190,"Saarbrücken",49.25649,7.04636
485,"Artern",51.36685,11.30059
2170,"Stuttgart",48.78275,9.17036
255,"Bremen",53.07175,8.80494
2001,"Tübingen",48.52492,9.06162
2527,"Zwickau",50.72505,12.48739
2108,"Albstadt",48.21047,9.03139
2393,"Leutkirch/Allgäu",47.86948,9.99609
419,"Klötze",52.62543,11.16450
417,"Gardelegen",52.52255,11.39990
2354,"Karlsruhe",49.01962,8.37131
2495,"Frankfurt/Main",50.10406,8.67617
430,"Bad Dürrenberg",51.29596,12.06352
2103,"Stuttgart",48.77970,9.19157
475,"Schmölln/Thüringen",50.89524,12.35387
2398,"Freiburg/Breisgau",48.00325,7.85499
2549,"Horb/Neckar",48.43999,8.64943
2300,"Rottenburg/Neckar",48.47702,8.93224
731,"Pulheim",50.96114,6.78215
2072,"Leipzig",51.33416,12.37497
2092,"Dresden",51.12923,13.78971
508,"Leinefelde-Worbis",51.38418,10.32820
2226,"Berlin",52.53193,13.38521
2081,"Karlsruhe",49.00718,8.39864
2337,"Dresden",51.04447,13.74755
375,"Berlin",52.48466,13.38452
2188,"Ludwigsburg",48.90751,9.18337
752,"Nijmegen",51.81789,5.85696
540,"Zella-Mehlis",50.65644,10.66393
234,"Kiel",54.32750,10.12858
110,"Lüneburg",53.22838,10.40503
2544,"Tübingen",48.52492,9.06162
657,"Bremen",53.07373,8.81235
2336,"Hagen",51.35472,7.47992
2227,"Tübingen",48.52125,9.05476
2367,"Freiburg/Breisgau",47.99696,7.84478
225,"Weimar",50.98067,11.32288
2401,"Reichenau",47.69447,9.12593
2492,"Offenbach/Main",50.10767,8.76142
2472,"Hamm",51.68228,7.84183
73,"Hannover",52.35457,9.79759
548,"Bergen Kreis Celle",52.81016,9.96039
2249,"Tübingen",48.50945,9.06505
695,"Ottersberg",53.10660,9.16234
118,"Köthen/Anhalt",51.75475,11.96709
2095,"Stuttgart",48.74663,9.08159
808,"Hamburg",53.55124,9.93465
139,"Hamburg",53.56719,10.03136
2317,"Ludwigsburg",48.89563,9.19223
2526,"Nürnberg",49.44805,11.07978
2481,"Frankfurt/Main",50.11206,8.68472
